id_original,descricao,unidade,quantidade,preco_unit,preco_total,id_linha,codigo,descricao_norm,apelido_sugerido,alternativa,score,status,motivo,semelhantes,tax_tipo,tax_desconhecido,unidade_sugerida,revisar,apelido_desejado
19, ESCAVAÇÃO E CARGA DE MATERIAL DE 1ª/2ª CATEGORIA  ,m3,49049.95,4.9,240344.755,19,,escavacao e carga de material de 1a 2a categoria,escavacao_m3,,100,revisar,Match exato,[],servicos_escavacao,False,m3,True,escavacao_mec_solo_m3
20, ESCAVAÇÃO E CARGA DE MATERIAL DE 2ª CATEGORIA COM RIPPER  ,m3,691.55,5.44,3762.032,20,,escavacao e carga de material de 2a categoria com ripper,escavacao_m3,,100,revisar,Match exato,[],servicos_escavacao,False,m3,True,escavacao_mec_alterada_m3
48, ESCAVAÇÃO MECÂNICA PARA OBRAS SEM EXPLOSIVO  ,m3,15021.05,10.92,164029.86599999998,48,,escavacao mecanica para obras sem explosivo,escavacao_m3,,100,revisar,Match exato,[],servicos_escavacao,False,m3,True,escavacao_mec_solo_m3
49, ESCAVAÇÃO DE DRENOS E BUEIROS SEM EXPLOSIVO  ,m3,121417.43,62.83,7628657.1269,49,,escavacao de drenos e bueiros sem explosivo,escavacao_m3,,100,revisar,Match exato,[],servicos_escavacao,False,m3,True,escavacao_mec_vala_solo_m3
82, ESCAVAÇÃO E CARGA DE MATERIAL DE 1ª/2ª CATEGORIA  ,m3,199090.0,4.9,975541.0,82,,escavacao e carga de material de 1a 2a categoria,escavacao_m3,,100,revisar,Match exato,[],servicos_escavacao,False,m3,True,escavacao_mec_solo_m3
83, ESCAVAÇÃO E CARGA DE SOLO MOLE SOB LÂMINA D' ÁGUA  ,m3,90000.0,10.66,959400.0,83,,escavacao e carga de solo mole sob lamina d agua,escavacao_m3,,100,revisar,Match exato,[],servicos_escavacao,False,m3,True,escavacao_mec_solo-mole_m3
99, ESCAVAÇÃO MECÂNICA PARA OBRAS SEM EXPLOSIVO  ,m3,542191.72,10.92,5920733.5824,99,,escavacao mecanica para obras sem explosivo,escavacao_m3,,100,revisar,Match exato,[],servicos_escavacao,False,m3,True,escavacao_mec_solo_m3
117, ESCAVAÇÃO E CARGA DE SOLO MOLE SOB LÂMINA D' ÁGUA  ,m3,9836.0,10.66,104851.76,117,,escavacao e carga de solo mole sob lamina d agua,escavacao_m3,,100,revisar,Match exato,[],servicos_escavacao,False,m3,True,escavacao_mec_solo-mole_m3
121, ESCAVAÇÃO MANUAL PARA OBRAS SEM EXPLOSIVO  ,m3,5795.0,50.17,290735.15,121,,escavacao manual para obras sem explosivo,escavacao_m3,,100,revisar,Match exato,[],servicos_escavacao,False,m3,True,escavacao_manual_solo_m3
368, ESCAVAÇÃO MECÂNICA PARA OBRAS SEM EXPLOSIVO  ,m3,96042.36,10.92,1048782.5712,368,,escavacao mecanica para obras sem explosivo,escavacao_m3,,100,revisar,Match exato,[],servicos_escavacao,False,m3,True,escavacao_mec_solo_m3
864, ESCAVAÇÃO E CARGA DE MATERIAL DE 1ª/2ª CATEGORIA  ,m3,114240.0,4.9,559776.0,864,,escavacao e carga de material de 1a 2a categoria,escavacao_m3,,100,revisar,Match exato,[],servicos_escavacao,False,m3,True,escavacao_mec_solo_m3
865, ESCAVAÇÃO E CARGA DE SOLO MOLE SOB LÂMINA D' ÁGUA  ,m3,246330.0,10.66,2625877.8,865,,escavacao e carga de solo mole sob lamina d agua,escavacao_m3,,100,revisar,Match exato,[],servicos_escavacao,False,m3,True,escavacao_mec_solo-mole_m3
878, ESCAVAÇÃO MECÂNICA PARA OBRAS SEM EXPLOSIVO  ,m3,376582.0,10.92,4112275.44,878,,escavacao mecanica para obras sem explosivo,escavacao_m3,,100,revisar,Match exato,[],servicos_escavacao,False,m3,True,escavacao_mec_solo_m3
