Planilha: 00011 - TUNEL SUBMERSO SIGMA P82                                    ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
Codigo,Descricao,Unid,Qtde,Qtde Improd,Custo Unit,Valor,%,% Acum.,% s/ Tot,% Acum
IM1920,"FORNECIMENTO DE AÇO CA-50, CORTADO E DOBRADO  ",KG    ,57547713.088,            ,2.53,145595714.11,18.45,18.45,10.18,10.18
IM1273,TUBO DE AÇO CARBONO Ø2M E CONECTORES - COMBWALL  ,KG    ,18916319.5545,            ,4.5,85123438.01,10.79,29.24,5.95,16.13
IM1102,CIMENTO PORTLAND CP III RS 40  ,T     ,251407.651378,            ,314.55,79080296.58,10.02,39.26,5.53,21.66
IM0704,AREIA LAVADA  ,M3    ,529015.054396,            ,85,44966289.16,5.7,44.96,3.14,24.8
IM1281,"INJEÇÃO DE COLUNA JET GROUTING EM SOLO NATURAL, INDEPENDENTE DIAMETRO  ",M3    ,125288.41,            ,250,31322102.5,3.97,48.93,2.19,26.99
IM0201,CIMENTO PORTLAND CP II-32(A GRANEL)  ,KG    ,75262873,            ,0.3,22578861.9,2.86,51.79,1.58,28.57
IM1916,INSTALAÇÃO DE CANTEIRO DE OBRAS  ,GB    ,1,            ,21625343.62,21625343.62,2.74,54.53,1.51,30.08
IN0035,BRITA 1  ,M3    ,268819.260795,            ,75,20161440.75,2.55,57.08,1.41,31.49
IM1106,RACHÃO  ,M3    ,254314.479,            ,74,18819271.45,2.38,59.46,1.32,32.81
IM1931,MATERIAL CONSUMO DE CONSUMO COMBWALL  ,KG    ,18008685.29,            ,0.91,16387903.61,2.08,61.54,1.15,33.96
IM1881,"DRAGAGEM / REMOÇÃO DE MATERIAL MARINHO (PROFUNDIDADES DE 15,0 A 32,0 m), INCLUSIVE TRANSPORTE E DEPOSIÇÃO EM LOCAL APROPRIADO (POLIGONO DE DEPOSIÇÃO OCEANICA)  ",M3    ,138086.55,            ,117.26,16192028.85,2.05,63.59,1.13,35.09
IM0002,OLEO DIESEL  ,L     ,7030663.688161,            ,2.26,15890002.54,2.01,65.6,1.11,36.2
IM1876,PERFIL METALICO DE AÇO  ,KG    ,3757437.39,            ,4,15029749.56,1.9,67.5,1.05,37.25
IM1917,OPERAÇÃO E MANUTENÇÃO DE CANTEIRO DE OBRAS  ,GB    ,1,            ,12614786.81,12614786.81,1.6,69.1,0.88,38.13
IM1912,"OPERAÇÃO DE SUBMERSÃO DO ELEMENTO DE TÚNEL (EQUIPAMENTOS, PONTOS DE SUSPENSÃO, PINO E GUIA, TORRES DE ACESSO, SUPORTE PRIMÁRIO, TORRE DE MEDIÇÃO/MONITORAMENTO, BOMBEAMENTO DOS TANQUES DE LASTRO, ESGOTAMENTO DA JUNTA DE IMERSÃO E EXECUÇÃO DA JUNTA DE TRAVAMENTO - INCLUSIVE TODOS OS EQUIPAMENTOS, MÃO DE OBRA E MATERIAIS NECESSÁRIOS PARA ESSA OPERAÇÃO)  ",UN    ,6,            ,1928084.17,11568505.02,1.47,70.57,0.81,38.94
IM1031,"DEPOSIÇÃO DE MATERIAL CLASSE IIB, EM BOTA-FORA ESPECIAL  ",T     ,201295.9,            ,50,10064795,1.28,71.85,0.7,39.64
IM1811,"AÇO ASTM A-36, PERFIL OU CHAPA  ",KG    ,901745.999982,            ,10.9,9829031.32,1.25,73.1,0.69,40.33
IM1913,"OPERAÇÃO DE ASSENTAMENTO E FINALIZAÇÃO DO ELEMENTO DE TÚNEL (APOIOS SECUNDÁRIOS, INJEÇÃO/BOMBEAMENTO DA FUNDAÇÃO DE AREIA, JUNTA DE TRAVAMENTO, JUNTA OMEGA E FINALIZAÇÃO DA JUNTA DE IMERSÃO, DESMONTAGEM E DESMOBILIZAÇÃO DOS ANTEPAROS PRIMÁRIOS E SECUNDÁRIOS - INCLUSIVE TODOS OS EQUIPAMENTOS, MÃO DE OBRA E MATERIAIS NECESSÁRIOS PARA ESSA OPERAÇÃO)  ",UN    ,6,            ,1611665.45,9669992.7,1.23,74.33,0.68,41.01
IM1030,"DEPOSIÇÃO DE MATERIAL CLASSE IIA, EM BOTA-FORA ESPECIAL  ",T     ,119061.99,            ,70,8334339.3,1.06,75.39,0.58,41.59
IM1070,TARIFA DE ÁGUA - SABESP  ,M3    ,773656.284135,            ,10.7,8278112.78,1.05,76.44,0.58,42.17
IM1911,"OPERAÇÃO DE TRANSPORTE DO ELEMENTO DE TÚNEL (EQUIPAMENTOS, OLHAIS, CABOS, CABEÇOS, POITAS, ROLDANAS, DEMAIS ELEMENTOS - INCLUSIVE TODOS OS EQUIPAMENTOS, MÃO DE OBRA E MATERIAIS NECESSÁRIOS PARA ESSA OPERAÇÃO)  ",UN    ,6,            ,1116632.8,6699796.8,0.85,77.29,0.47,42.64
IM0307,"CORDOALHA CP-190 RB D=12,7MM  ",KG    ,1099341.328,            ,5.46,6002403.66,0.76,78.05,0.42,43.06
IM1905,FÔRMA INTERNA - METÁLICA COM SUPERFICIE DE MADEIRA COM APLICAÇÃO DE DESMOLDANTE E REAPROVEITAMENTO  ,M2    ,69565.2,            ,81.6,5676520.32,0.72,78.77,0.4,43.46
IM1919,"FORNECIMENTO DE AÇO CA-60, CORTADO E DOBRADO  ",KG    ,2224143.6945,            ,2.48,5515876.36,0.7,79.47,0.39,43.85
