Unnamed: 0,ID Primario,ID,Unnamed: 3,SETOR,GRUPO,ITEM,UNIDADE,QUANT.,PREÇO UNITÁRIO,PREÇO TOTAL 
,1.0,1,21,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES,,,,,
,2.0,1.1,21.03.01,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES," REMOÇÃO CERCA ARAME, INCLUSIVE TRANSPORTE  ",m,400,12.03,4812.0
,3.0,1.2, 21.03.02  ,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES, REMOCAO DE DEFENSA METALICA SIMPLES  ,m,200,43.91,8782.0
,4.0,1.3, 21.03.08  ,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES, REMOÇÃO E TRANSPORTE DE GUIA PRÉ-MOLDADA  ,m,18670.46,17.64,329346.9144
,5.0,1.4," 21.88.0.,01  ",ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES, DEMOLIÇÃO DE CONCRETO ARMADO  ,m3,39039.41,294.37,11492031.121700002
,6.0,1.5,21.88.05.02,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES, DEMOLIÇÃO DE CONCRETO SIMPLES  ,m3,63709.51,154.29,9829740.289900001
,7.0,1.6,21.88.05.05,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES, DEMOLIÇÃO DE EDIFICAÇÃO EM ALVENARIA  ,m2,66412.68,35.6,2364291.408
,8.0,1.7,21.88.05.06,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES, DEMOLIÇÃO DE EDIFICAÇÃO EM MADEIRA  ,m2,34516.27,13.19,455269.6012999999
,9.0,1.8,21.88.05.07,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES, DEMOLIÇÃO DE PAVIMENTO FLEXIVEL  ,m3,41618.81,18.52,770780.3611999999
,10.0,1.9,21.88.19.01,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES," MURO DE FECHAMENTO COM PLACAS E MOURÕES PRÉ-MOLDADO H=2,00 m  ",m,100,125.96,12596.0
,11.0,1.10,21.88.19.08.03,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES, TRANSPORTE DE MATERIAL CLASSE IIA e IIB PARA BOTA-FORA ESPECIAL  ,ton x km,7813575.8,1.24,9688833.992
,12.0,1.11,21.88.20.01,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES, BRITAGEM DE MATERIAL DE DEMOLIÇÃO  ,m3,101234.38,50.86,5148780.5668
,13.0,1.12,21.88.21.02,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES," DEPOSIÇÃO DE MATERIAL CLASSE IIA, EM BOTA-FORA ESPECIAL  ",ton,151405.85,94.5,14307852.825000001
,14.0,1.13,21.88.21.03,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES," DEPOSIÇÃO DE MATERIAL CLASSE IIB, EM BOTA-FORA ESPECIAL  ",ton,151401.71,67.5,10219615.424999999
,15.0,1.14,22.88.03.03,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES, TRANSPORTE DE MATERIAL DE DEMOLIÇÃO ATÉ 5 KM  ,m3 x km,506171.91,1.71,865553.9661
,16.0,2,22,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM,,,,,
,17.0,2.1,22.01.01,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM, LIMPEZA ÁRVORES  DE   TERRENO   SEM   DESTOCAMENTO   DE  ÁRVORES,m2,181263,0.28,50753.64000000001
,18.0,2.2,22.02.01,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM, ESCAVAÇÃO E CARGA DE MATERIAL DE 1ª/2ª CATEGORIA  ,m3,49049.95,4.9,240344.755
,19.0,2.3,22.02.02,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM, ESCAVAÇÃO E CARGA DE MATERIAL DE 2ª CATEGORIA COM RIPPER  ,m3,691.55,5.44,3762.032
,20.0,2.4,22.02.06,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM, CARGA DE MATERIAL DE LIMPEZA  ,m3,36252.6,2.26,81930.87599999999
,21.0,2.5,22.03.01,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM, TRANSPORTE DE MATERIAL DE 1ª/2ª CATEGORIA ATÉ 1 km  ,m3 x km,729.26,3.74,2727.4324
,22.0,2.6,22.03.02,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM, TRANSPORTE DE MATERIAL DE 1ª/2ª CATEGORIA ATÉ 2 km  ,m3 x km,2187.76,2.2,4813.072000000001
,23.0,2.7,22.03.03,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM, TRANSPORTE DE MATERIAL DE 1ª/2ª CATEGORIA ATÉ 5 km  ,m3 x km,3000.93,1.71,5131.5903
,24.0,2.8,22.03.04,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM, TRANSPORTE DE MATERIAL DE 1ª/2ª CATEGORIA ATÉ 10 km  ,m3 x km,247956.53,1.43,354577.8379
,25.0,2.9,22.03.05,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM, TRANSPORTE DE MATERIAL DE 1ª/2ª CATEGORIA ATÉ 15 km  ,m3 x km,63019.43,1.26,79404.4818
,26.0,2.10,22.88.03.12.01,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM, TRANSPORTE DE MATERIAL DE LIMPEZA ATÉ 5 km  ,m3 x km,35550.75,1.93,68612.9475
,27.0,2.11,22.88.03.12.02,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM, TRANSPORTE DE MATERIAL DE LIMPEZA ATÉ 10 km  ,m3 x km,205980.75,1.44,296612.27999999997
,28.0,2.12,22.88.03.12.03,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM, TRANSPORTE DE MATERIAL DE LIMPEZA ATÉ 15 km  ,m3 x km,17088.75,1.3,22215.375
,29.0,2.13,22.88.03.12.04,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM, TRANSPORTE DE MATERIAL DE LIMPEZA ALÉM DE 15 km  ,m3 x km,87885,1.12,98431.20000000001
,30.0,2.14,22.04.01,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM, COMPACTAÇÃO DE ATERRO MAIOR/IGUAL 95% PN  ,m3,30672,3.01,92322.71999999999
,31.0,3,23,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  ,,,,,
,32.0,3.1,22.02.09,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  , ESPALHAMENTO / REGULARIZAÇÃO / COMPACTAÇÃO DE MATERIAL EM BOTA-FORA.  ,m3,39829.93,2.21,88024.1453
,33.0,3.2,22.02.09,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  , MELHORIA / PREPARO SUB-LEITO -100% EN  ,m2,106846.37,1.14,121804.86179999998
,34.0,3.3,23.04.03.01,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  , SUB-BASE OU BASE BRITA GRADUADA SIMPLES  ,m3,21323.73,168.38,3590489.6574
,35.0,3.4,23.04.03.04,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  , SUB-BASE OU BASE DE PEDRA RACHÃO  ,m3,48590.87,168.04,8165209.7948
,36.0,3.5,23.04.04.04,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  , SUB-BASE OU BASE BRITA GRADUADA COM CIMENTO 4%VOL  ,m3,23047.05,208.16,4797473.927999999
,37.0,3.6,23.05.01,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  , IMPRIMADURA BETUMINOSA IMPERMEABILIZANTE  ,m2,127597.58,3.42,436383.72359999997
,38.0,3.7,23.05.02,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  , IMPRIMADURA BETUMINOSA LIGANTE  ,m2,320347.81,1.32,422859.1092
,39.0,3.8,23.05.04,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  , IMPRIMADURA BETUMINOSA LIGANTE MODIFICADA COM POLÍMERO  ,m2,92170.2,1.71,157611.042
,40.0,3.9,23.08.02,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  , CONCRETO ASFÁLTICO USINADO A QUENTE  BINDER - GRADUAÇÃO B COM DOP  ,m3,10071.28,488.89,4923748.0792000005
,41.0,3.10,23.08.03.03,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  , CAMADA ROLAMENTO CBUQ - GRADUAÇÃO C - COM DOP  ,m3,7254.62,526.62,3820427.9844
,42.0,3.11,23.08.05,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  , CONCRETO ASFÁLTICO MODIFICADO POR POLÍMERO  ,m3,4343.57,637.36,2768417.7752
,43.0,3.12,23.10.01,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  ," FRESAGEM CONTÍNUA DE PAVIMENTO, INDEPENDENTE DA ESPESSURA  ",m3,4776.51,139.28,665272.3128000001
,44.0,4,24,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,, ,,,
,45.0,4.1,22.02.09,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM, ESPALHAMENTO / REGULARIZAÇÃO / COMPACTAÇÃO DE MATERIAL EM BOTA-FORA.  ,m3,25813.9,2.21,57048.719000000005
,46.0,4.2,22.03.03,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM, TRANSPORTE DE MATERIAL DE 1ª/2ª CATEGORIA ATÉ 5 km  ,m3 x km,129069.46,1.71,220708.7766
,47.0,4.3,24.02.02,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM, ESCAVAÇÃO MECÂNICA PARA OBRAS SEM EXPLOSIVO  ,m3,15021.05,10.92,164029.86599999998
,48.0,4.4,24.02.08,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM, ESCAVAÇÃO DE DRENOS E BUEIROS SEM EXPLOSIVO  ,m3,121417.43,62.83,7628657.1269
