8-863,A - F,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
DATA BASE: SETEMBRO/2013,,,,,,,,,,,
LPI 001/2013,,,,,,,,,,,
ORÇAMENTO ESTIMATIVO DE SERVIÇOS E PREÇOS,,,,,,,,,,,
"OBRAS DE IMPLANTAÇÃO DO SUBMERSO - TÚNEL SANTOS - GUARUJÁ, INTEGRANTE DO PROJETO DE MELHORIA LOGÍSTICA E DE MOBILIDADE URBANA ENTRE SANTOS E GUARUJÁ.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ITEM,CPU,DESCRIÇÃO COMPLETA,UNIDADE,QUANT.,PREÇO UNITÁRIO,,PREÇO UNITÁRIO DERSA,PREÇO TOTAL ,ITEM,SUB GRUPO,CÓDIGO DERSA
,,ACESSOS - LADO SANTOS E GUARUJÁ,,,,,,,,,
1,,SERVIÇOS PRELIMINARES,,,,,,,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES,21
1.1,," REMOÇÃO CERCA ARAME, INCLUSIVE TRANSPORTE  ",m,400,,,12.03,4812,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES,21.03.01
1.2,, REMOCAO DE DEFENSA METALICA SIMPLES  ,m,200,,,43.91,8782,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES, 21.03.02  
1.3,, REMOÇÃO E TRANSPORTE DE GUIA PRÉ-MOLDADA  ,m,18670.46,,,17.64,329346.9144,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES, 21.03.08  
1.4,, DEMOLIÇÃO DE CONCRETO ARMADO  ,m3,39039.41,,,294.37,11492031.121700002,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES," 21.88.0.,01  "
1.5,, DEMOLIÇÃO DE CONCRETO SIMPLES  ,m3,63709.51,,,154.29,9829740.289900001,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES,21.88.05.02
1.6,, DEMOLIÇÃO DE EDIFICAÇÃO EM ALVENARIA  ,m2,66412.68,,,35.6,2364291.408,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES,21.88.05.05
1.7,, DEMOLIÇÃO DE EDIFICAÇÃO EM MADEIRA  ,m2,34516.27,,,13.19,455269.6012999999,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES,21.88.05.06
1.8,, DEMOLIÇÃO DE PAVIMENTO FLEXIVEL  ,m3,41618.81,,,18.52,770780.3611999999,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES,21.88.05.07
1.9,," MURO DE FECHAMENTO COM PLACAS E MOURÕES PRÉ-MOLDADO H=2,00 m  ",m,100,,,125.96,12596,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES,21.88.19.01
1.10,, TRANSPORTE DE MATERIAL CLASSE IIA e IIB PARA BOTA-FORA ESPECIAL  ,ton x km,7813575.8,,,1.24,9688833.992,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES,21.88.19.08.03
1.11,, BRITAGEM DE MATERIAL DE DEMOLIÇÃO  ,m3,101234.38,,,50.86,5148780.5668,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES,21.88.20.01
1.12,," DEPOSIÇÃO DE MATERIAL CLASSE IIA, EM BOTA-FORA ESPECIAL  ",ton,151405.85,,,94.5,14307852.825000001,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES,21.88.21.02
1.13,," DEPOSIÇÃO DE MATERIAL CLASSE IIB, EM BOTA-FORA ESPECIAL  ",ton,151401.71,,,67.5,10219615.424999999,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES,21.88.21.03
1.14,, TRANSPORTE DE MATERIAL DE DEMOLIÇÃO ATÉ 5 KM  ,m3 x km,506171.91,,,1.71,865553.9661,ACESSOS - LADO SANTOS E GUARUJÁ,SERVIÇOS PRELIMINARES,22.88.03.03
2,,TERRAPLENAGEM,,,,,,,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM,22
2.1,, LIMPEZA ÁRVORES  DE   TERRENO   SEM   DESTOCAMENTO   DE  ÁRVORES,m2,181263,,,0.28,50753.64000000001,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM,22.01.01
2.2,CB0001, ESCAVAÇÃO E CARGA DE MATERIAL DE 1ª/2ª CATEGORIA  ,m3,49049.95,,,4.9,240344.755,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM,22.02.01
2.3,, ESCAVAÇÃO E CARGA DE MATERIAL DE 2ª CATEGORIA COM RIPPER  ,m3,691.55,,,5.44,3762.032,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM,22.02.02
